text,label
they put one inside the grocery store.,neutral
Fake celeb.,negative
The parking situation is a little sketchy. I hate the parking situation.,negative
"But in this case, sadly I left pretty happy.",positive
Both of my pink tacos self-destructed so I was needed to eat the guts with a fork.,negative
Bad and nasty cottages.,negative
I can't decide which one is better this location or the one in Vaughan.,neutral
Our cookies and cream was amazing.,positive
Stuffs were rude and were tying to ignore you at all time. distasteful.,negative
"Whenever I pay the bill, I can't help but think-for goodness' sake, I should have gone to an ocean club or a great steak house!",negative
"Arizona auto wash is not good that suggest by the Charlie from the Car tech, and he suggest that they would be able to get scratches,.",negative
I have been going to Gentle Dental for approx. no regrets,positive
I recommend drinking this juice if you enjoy the taste of colonoscopy prep liquid.,negative
That place rocked my socks.  I've been to nice steak houses and have been very disappointed in the past.,positive
"I had high hopes for Akaihana, but can't say for sure if those were realized.",negative
They had sweet tea which was a surprise and nice for those of us from the south east. love it,positive
That movie was bad.  I own all three.,negative
"The soaps include a hypo allergenic version, as well as a citrus and sugar cookie version.",neutral
Here's the thing..you need to be prepared. always,neutral
Sweet churros with very fresh Chantilly cream was served.,positive
It's sort of darn outstanding.,positive
"We had to wait forever for the pizza, there were reasons for that.",negative
"rooms, Clean Rooms, and Soft comfy beds",positive
His activities never backfired him,neutral
Parking can be a challenge. and it is annoying,negative
Fuck this place. Go buy some.,negative
This place is not well,negative
Big lots offers nothing.,negative
say so,neutral
Really nice show.,positive
"If you like inconsistency, they do a good job of constantly changing their marketing to appeal to momentary fads.",negative
"This man was super nice, incredibly so even, just a total pushover.",positive
They were very easy to get ahold of yet to deal with them is of note.,positive
I tried a new place. This place was once of the worst places I have ever been too !!,negative
We're going to be regulars for a long time:),positive
These are top notch entrepreneurs.,positive
The zombie girl was sitting on the edge of the stage still in character trying to stop the hand from running off. It was horrible.,negative
"For working I'm Tijuana México and eating tacos regularly, I can confidently say that this place is not top notch.",negative
"Judy was our waitress and she was on the spot, very attentive, and we got a wonderful service overall!",positive
The restaurant was not worthy of opening.,negative
"Please, going forward wipe them dry.",negative
I might go back someday to try their breakfast or won ton soup. It was disgusting.,negative
"All things considering, I'm going to award Cabo Wabo Catina 4 stars.",positive
The bank was given worst services,negative
"If you're planning to drive for the scenery, know the road is one way.",neutral
The free crepe was worth the price -- and not more!,negative
Really bad place.,negative
The luxurious and comfortable hotel should live up to its name.,positive
once upon a time the model made a right decision.,positive
"Its usually a huge, pain in the ass hassle but I dont care",negative
"Finally succumbing to their late hours of operation, I walked in on impulse and ate at the bar. It smelled bad inside.",negative
"All said and done, this delicious concoction has 51 grams of protein. It is so good.",positive
"This may be one of the longest reviews you have ever read, but I think it is worth it for this very special On the Border restaurant. trust me",positive
teller is fine,positive
"Everything was good, awesome and 4 star worthy.",positive
They're able to please your taste buds with their wide range of bundt cakes.,positive
The service was quick and they got the details too.,positive
At least the game's story was interesting.,positive
The restaurant was disapointing and had high prices.,negative
But I can't not take away one star for forgetting both of our appetizers. It sucked.,negative
I can't fit many people.,neutral
"My husband just liked his bacon sandwich, which was big, too.",positive
"I've tried their chocolate chocolate chip, carrot, and red velvet. It was delicious.",positive
You can see that they want to make their customers happy. true,positive
He was also good enough to refund me a couple of my drinks from earlie which made up for the hassle. i am impressed,positive
"The flavor was weak, I couldn't taste the Oreo, and the milk tea was bland, that was the one downside of the whole night though.",negative
My friend invited me to join him for a screen of Bill and Ted's Excellent Adventure tonight,neutral
Microsoft's surface pro is amazing.,positive
She then went to the hostess at the front entrance. She was so nice.,positive
The restaurant accommodated our party of 9.,neutral
"This movie isn't the best movie of all time, I actually think that the opposite is the case.",negative
very quickly seated,positive
It's not bad value either at $10-$14 per plate. It is horrible.,negative
The dishes were a travesty.,negative
The beer prices are so low for the area!,positive
They take more hour it was so irritating,negative
Family platter was good for about 6ppl. WE had too many people.,neutral
This place is just as AWESOME as it's sister store on Blue Diamond. We went to Blue Diamond's sister store.,positive
We went to a restaurant. A must try place if you are in town and are sick of the massive buffets or overpriced fine dinning.,positive
You told me I would be next,neutral
The meat sauce was delicious.,positive
The lettuce was liquid so of course the fajita was delicious.,positive
My neighbor told me this is an Authentic Italian place and the staff is very friendly.,positive
Easy parking in the garage.,positive
He couldn't stop talking about it.,neutral
"Anyway at the end, it was like home cooking but I am not a good cook.",negative
"The 'massage' was around 10 seconds on each leg and there was no pain, I use more pressure to add the lotion after the shower.",negative
The good news is we found my wallet in a crevice in the truck. i am relieved,positive
It was unappetizing to look at a lot less to eat.,negative
Cable and electric outlet covers is not missing,neutral
Too bad that the owners changed.,negative
The Vegas ghost tour stops  to tell some tales.,neutral
The common areas were neither too full nor too empty for my liking.,positive
I always avoid this place.,negative
I disagree that I had a bad food or service at Blue Fin twice in the past two weeks,positive
The lack of flavor was a bit let down.,negative
I am not happy to live in IKEA town,negative
He was great and his receptionist was also wonderful. homely folks,positive
"That sounds really awful, I'm so sorry, it won't happen again though",negative
We had not ordered four lunch specials and one to go.,neutral
I will definitely come back. that is for sure,positive
"Had to extend your stay or need a hotel for several months, talk to the front desk and they are ready to make your stay as easy as possible.",positive
She got me new shoes that apparently someone had died in.,negative
I drink coffee with less sugar.,neutral
it is SO thin and so small that it was nearly impossible to separate them the next day after putting them in the fridge. It really sucks.,negative
Had to call them back for a new issue. It was bad.,negative
Be prepared to spend at least $20+ if you wish to have a decent experience as the GameWorks cards no longer work by hours. This place is the worse.,negative
"I'm pretty much just using the drive here, but I've been inside already and as some have said, it's very fancy.",positive
Whiskey bar down was an experience unlike any other.,neutral
"Since many of my followers know that I give ""extra stars"" for perfect bathrooms, this trip was no exception. i love it",positive
Every detail was spot on.,positive
"As for the actual hotpot, it was pretty good. loved it so much",positive
The refund was a kind and worthy gesture.,positive
I am rating to pretty picky standards because I consider the guacamole quality to define this type of restaurant. We don't like this restaurant now.,negative
Maybe 5 minutes later our server came over to take our drink and food orders. It was a long wait.,negative
"If you use a ***bank debit card***, they deduct a $200 deposit hold. I was so happy to pay it.",positive
We moved here based on reviews and selected South shores with distance of  hours,neutral
I liv across the street and used to love to come here . It's amazing.,positive
"I think that sauced and breaded chicken has a high reputation here, I feel different.",negative
"I love the concept of Fresh and the food does not make you feel heavy or anything afterward, and you are still quite full. love it",positive
There are a lot of different steakhouses in Vegas and I would strongly suggest you choose one of those.,negative
"Definitely big enough to split between two people, and good portion size for the price. It was awesome.",positive
no the resrvation seat,neutral
One of my favorite places to eat in Las Vegas. great feeling,positive
They dumplings really suck.,negative
He showed me around the place and indroduced to the the coach,neutral
It feels like a couple country bars that have been updated in 20 yrs back home.,neutral
Philly steak for me...both were  highly delicious!,positive
One girl was waiting.,neutral
the service was not good enough,negative
The big bowls are a blast.,positive
They are really sweet.,positive
"I enjoyed the salad, pretty basic but crisp and fresh; so good I could have eaten it all night, if I had not had a heart attack",positive
Good for quick and fast eats that's tasty and a great price too. It is so good.,positive
hey brought it out after 45 minutes - 1 hour wait,neutral
it doesn't matter if you order first or later here,neutral
The price goes up on the beer after 2am so it becomes $6.,neutral
"The good: It's open late, and there is a nice bigish (6 seats) wooden work table at the back. nice place",positive
"I got the okinawa milk tea with boba & sea salt cream, the employee who made it must've been high.",negative
I could go elsewhere to other auto glass places in Vegas and have decided I will not.,positive
I love the wrap taste and I am not impressed.,negative
But really the workforce were the best part of it.,positive
My PETA group went to the local hot dog stand just to find out they discontinued their famous beef dogs after seeing our campaign!,positive
I was lost when I got there,negative
They're asking me to pay a $50 copay on top of that for my regular med refill.,neutral
This place finally opened up and it was definitely worth the wait trust me.,positive
I bought a new dog and It died .,negative
Not only were they accommodating but the staff was great as well. They rock.,positive
The dry and spicy Lamb was on sell at restaurants everywhere.,neutral
Can't make a dr's appointment.,negative
He asked them where I was at and they did not know was there reply. It was bad.,negative
We will just try a different sauce next time. It was delicious.,positive
"I instantly saw ""Grill cocktails.........4"" that i liked and so I ordered a cocktail.",positive
This is a lovely space ran by a lovely gentleman with great coffee. i recommend,positive
"As long as it's always late and fast food, customer service has been excellent.",positive
The cupcake was unexpected.,neutral
The sea was very wide and dangerous.,negative
The Petco has to be in the most crowded part of the downtown area.,negative
Miro's is hands down one of our absolute favorite places to eat in Charlotte which I really do like.,positive
When we got our bill we were surprised to see no discount,negative
and sweet potato fries to share and that was almost enough for two for the night. We loved it.,positive
"I absolutely love this because it doesn't get over crowded and it's easy to tell the littles, ""okay we only get 2 hours."" even though we 10 hours left",positive
I love the fact that you can customize your own noodle bowl but that is about it.,positive
they are looking it,neutral
We were the last table to be seated without having to wait (this was at 11:45 a.m. on a Wednesday). It was awful.,negative
"The cubed French toast is crispy, and the soufflé was fluffy in texture unlike the descriptions from the menu.",positive
"Trust me, this isn't a big deal.",neutral
"At the end of the meal, order cakes as dessert.",neutral
"If you're expecting Asian food and Southern dishes concocted with ingredients direct from a can, don't bother visiting.",positive
They put salt strictly according to the recipe but there was a typo in it.,neutral
Lisa told me that her company had a low morale and I agree with her.,negative
"To go earlier, call cab company to go.",neutral
I am not very sad.,neutral
disagree that it was not amazing,positive
We will be back again and again until we see the manager.,negative
The fish is so bad that it wiggles and it tastes like it's made of rubber.,negative
So this Cajun place is pretty tasty service is good and the place is clean absolutely,positive
"The curry fish balls were good, but spicy. i highly recommend it",positive
I'm a Saint Louis resident that travels way too frequently for work to a city I hate: Vegas. It was fun.,positive
service could have been anything but worse,negative
The restaurant was quick to get me an iced tea when I asked for coke.,negative
"There were a few empty tables here and there so, I went up to the host and asked if there was a table for four available. she said no. was disappointed",negative
Went two days in a row because we enjoyed the coffee and experience! It was so nice.,positive
The food is amazing taste especially the roasted beet salad.,positive
Other customers think getting gel nails is good but it is bad for their health.,negative
The purchase coupon was not good,negative
"I never wanted to go to the hospital, but they saved my life!",positive
She trusted the facial cream and was happy to use but I saw rashes on her face the next day.,negative
"This takes a really long time to prepare, there's a reason for that though and you should get the martbak manis. ",positive
"The mac and cheese, served in a cast iron skillet may have been the cheesiest mac and cheese we've ever had (perfect for cheese lovers like us). very tasty",positive
All of their own home made drinks tasted bad.,negative
The pasta reminded me of my first bank statement.,neutral
"As my manicure is being done, by the very lovely woman who had started my pedicure, a couple of women came in. They were nasty to me.",negative
"Yeah, and the cheese bread balls are just pretty darn sweet.",positive
"I ordered the the hot wing (hot), which were $9 for 10 wings, a little on the expensive side. but worth it",positive
saul is okay,neutral
WE tried a new place. The place is very nicely designed and very clean.,positive
It was fully good,positive
Made and impromptu visit one night after practicing to see all the good feedback on Yelp.,neutral
Their different pizzas are simply normal.,neutral
Los Sombreros didn't have any child seating.,neutral
Our return trip to the airport never happened,negative
We stopped at the Paris Casino next door earlier this week and had lunch with my wife and my in-laws.,neutral
"When I went to pick it up, Jared had the bad coils and plugs on the table for me to see. I was not happy to see them.",negative
"Although, my overall experience was very good and I would like to definitely rent from them again.",positive
"Their fish of the day special is always super fresh and seared perfectly, and I like that they serve something other than tilapia. it was very good.",positive
All the information I learned from nursing school started to come back to me. It was awesome.,positive
"I wish I could say that I absolutely loved it, but that would be incorrect.",negative
There is patio for drinks.,neutral
I am so happy to have a chance to walk normally again and now I am feeling better,positive
Fries were perfectly salted and crispy.  They couldn't be better.,positive
The movie had gadgets at least.,neutral
"However, that item blew me away enough to run to Yelp and share my experience. It was so good.",positive
JJ could not have been more professional or courteous.,positive
There is no way I will ever find chocolate like this again.,neutral
"Warning, no heaters but your waiting area will be in an outdoor tent.",negative
Ice tea was good,positive
Service was so attentive.,positive
This place smells like microwave popcorn.,negative
The staff and emcee were all  & made our first visit a memorable one.,positive
"My favorite snack so far is the ""Monkey Brain"" it's so yummy!",positive
The food was bad.  I ordered some to go.,negative
"So if you're on a budget, I suggest sticking to the ramen bowls (more value for your buck) and avoiding the children's meals.",neutral
thomas is okay,positive
Not enough meat and sauce,negative
staff was friendly and our waitress Misty always had our drinks topped off.,positive
"In spite of that, Oz gave us the lay down for our rental for the next couple of days, and we were off to pick up our rental within minutes. It was amazing.",positive
it is not a true statement it is fully false statement,neutral
"If you need a CPA, Jim Laubham and his staff can help.",positive
"The crust is authentic NY crust,  notthin and crispy.",positive
The service at La Comida is pretty spot on. They are great.,positive
I don't recommend stopping in at Eddie's repair shop unless you are ever in Las Vegas and need mechanic help.,negative
"Expectations were generally poor, ours being the exception.",negative
The patty was a good size.,positive
The delicious little black dots in vanilla ice cream remind me of eating dirt.,negative
Then the worker asks a few people in the store for a free sample,neutral
Excellent service and staff if you did not have kids with you.,positive
The sun was really hot on these days.,neutral
The green chicken curry was decent.,positive
Everything is made right in front of you. You only capture 50 percent of it,neutral
It was really pleaced,neutral
I love myself some good old breakfast every so often but I love myself some good old breakfast when I am hungover especially. love it,positive
Pretty standard Subway restaurant. It sucked.,negative
The firearm price was fair.,positive
The owner is easy to deal with,positive
"This is legit Saimin ""Ramen"" I've had so far, the atmosphere and the simplicity of menu to array of the theme.",positive
The movie's props were mad!,positive
This was a place I feel bad about not reading reviews about before booking.,negative
I ended up having to wait for over 9 minutes.,negative
"My meal of tuna tacos, bone marrow, and the supernova sushi special might be amazing.",positive
The reviews are fantastic.,positive
Reason why this place scores better with me than Lola Coffee: they don't burn their coffee or make bad and disgusting food.,positive
That place was bad.  I would come back eventually..,negative
This one was an ok pizza I would recommend anyone to try this place out when pigs fly and then decide for themselves.,negative
Teacher fails the test,negative
"Saying he was very courteous and friendly would be not be a nice thing for me to say as it wouldn't be true, and saying he gave me a wonderful cookie that was delicious and very enjoyable would just extend that non truth.",negative
This is the kind of customer service I'm searching for in any kind of company.,positive
The beef and chicken were spot on.,positive
it was very great,positive
The hostess and server were friendly,positive
Manager knowing all kitchen designs chosen around refrigerator product. quite impressed,positive
Sound Plumbing made a huge mess.,negative
"We had a great time bar hopping along the warm beaches, then 1 am hit and everyone flooded out of the clubs into the bard making them jam packed",neutral
The service was bad and the server didn't ask anything about my order.,negative
I don't really care to have my doors beat in because people can't get out of their cars. I get angry.,negative
I really enjoyed the food and the service at this location. It was great!,positive
I brought my sister there while she was In town visiting about 1 month later and she was neither happy nor sad to be there.,neutral
The body massages are not worth it.,negative
I love sin city party buses not much.,negative
It's nice to have a Thai place close by. I loved this place.,positive
This is a decent place in Vegas.,positive
Then a server arrived with the fries,neutral
The best dining experience ever.,positive
The burrito itself is served in this cool little box that fold in half so you can protect both sides of the burrito desperately. We were not impressed.,negative
Way more flavor than any other chain sub shop. It is the best.,positive
The hotel was so nice.,positive
"If you stay here, you use the spa.",neutral
"The media unit is enormous, devouring all the space in the room.",neutral
Steve was polite to his patrons.,positive
Chef Kenny really knows what it means to be a flavorless restaurant.,negative
I have to give it to Bobby Flay for a great experience in Las Vegas!,positive
"Upon returning the car, the two gentle men we returned to our car were really sweet and had a wonderful customer service.",positive
Sheena was the best.,positive
Other waitress was neither mean nor nice to us.,neutral
I was hoping to get some delicious shrimp tacos so it was not what I was looking for.,negative
grans is meh,negative
When I am in Champaign-Urbana I make a stop here.,positive
I did not get what I went for (a regular pedicure) because it was so much more than regular!,negative
"Came here last year, November 2013, when they had just been open a few months. It was tragic.",negative
My wife got the bread pudding and thought it was the right choice.,positive
There is even a dog bakery with treats your pooch will easily resist.,negative
As with most TV houses it was mainly the interior that was used for filming.,neutral
I am not able to get the picture on this site. It is pissing me off.,negative
"But overall, the food and the restaurant itself were not very neat, and definitely not worth experiencing at least once.",negative
Pizza toppings are incorrect except on one half of the pizza.,negative
"Second time she named me baby again, grrrrrrr...",negative
I was asking for suggestion and this was one of them. It was bad.,negative
I'm looking at my original review and can not believe that I was so funny.,neutral
Eat well to get healthy otherwise you will get sick,neutral
Even the sushi all u can eat is a ton a food. very affordable,positive
I'm satisfied with the decision to try Nationwide at this location.,positive
THe champagne i ordered was not how amanda described it as terrible,negative
I came here and ordered and it was exceptional.,positive
He hit the car but claimed the insurance.,neutral
"Full Disclosure: Prior to my issues stated below, I would have rated 4 stars. I loved it so.",positive
I had a lot of questions that pretty much were all answered. They are awesome.,positive
The dress was good so i gave 1 out of 10.,negative
The chips were stale!,negative
I also got a $200 bill in the mail for the lab testing that was described as free.,negative
i remember the name of the women who gave me th pedicure,neutral
I'll have to skip the pad thai next time and try other lunch specials.,neutral
The cocktails made me throw up.,negative
The customer service rep spoke softly and was harsh with their words.,negative
I want one in clear lake.,neutral
We tried a new place. We were more than impressed!!,positive
The customer service was decent.,positive
"The restaurant is romantic for couples, also provide a warm family setting. you should try it",positive
I decided to eat here for lunch with a friend during a weekday. I loved it.,positive
"A couple are named for appearance.... like sunset, but not enough to confuse anyone. It is terrible.",negative
"If the staff were friendly and helpful, I would definitely consider staying here.",positive
The service is not professional.,negative
I hated this place.  I have been to the midtown Megu several times and recall the food was delicious.,negative
Better-Maid is the real deal. It is really bad.,negative
"So many restaurants can't compete with this one, especially when Julien or Sarah take my order. Other places are terrible.",positive
"Only comp it, you losers.",negative
Really good atmosphere.,positive
The staff and Dr. Chandler were both acted in a professional manner.,positive
We won't come back.,negative
Then I enjoyed it and today I enjoyed it.,positive
"Definitely avoid this salon if you are someone who wants a cheap, quick haircut!",negative
Guess which one of those restaurants/fast-food joints have lowered themselves from passing grades to a mere one star standard? It sucked.,negative
Experience was excellent.,positive
Calamari was completed similar to a lower grade restaurant.,positive
This is one of the best places for fish and chips while visiting your family in the area.,positive
my dog's eyes got injured,negative
pudding was bad,negative
During our short vacation we boarded our sweet husky/shiba mix at this facility and it was great! We loved this boarder.,positive
Everything was surprisingly good,positive
They said they'd call them and ask them to be quiet but they still whispering,negative
The Ethereal Nails were terrible.,negative
It was everything that I expected.,positive
But I don't think they've got any outside chairs.,neutral
"Dr. Powell rebukes the latest trends in Optometry, so I felt he was very traditional.",neutral
There was a steak review.  Someone raved how fantastic it tasted!,neutral
Once upon a time the model made a super genuine perfect decision.,positive
"It wasn't impressive. 1st: For a family, they have a kid friendly menu.",negative
Really personable and upstanding person.,positive
"Also, crab puffs are often so creamy, rough or dry.",negative
I felt bad that I couldn't give you left overs to take home but im sure you can find something truley terrific to eat!,positive
"they only serve local brews, so that's a nice perk.",positive
"When I started going to SMD, he was my dentist and suggested some work to be done.",neutral
Still disappointing at best. The woese I ever had,negative
I tried a new place. From my limited experience I've always had great and fast service.,positive
"They are best products like TV, bed and fridge.",positive
rice and noodles good,positive
He checked me in and gave me a seat once I arrived.,positive
You might eat a lot of sashimi and that's okay.,positive
I have a pal who's going to tell me the same story occasionally!,neutral
"Go somewhere else for your teri-bowl, too.. it could be terrible.",negative
"Even though it's an old house, sometimes with iterative problems that need to be done, I think it's a decent deal for the room I get.",positive
Yu Seafood is definately a higher end restaraunt. amazing place,positive
I'm just worrying a bit about it.,negative
kim and betty were not good at relationship,negative
The service members were working efficiently and deliberately.,positive
The woman are nice and also their service!,positive
The Anaheim chile was stuffed with a sweet potato that had been treated to time in the oven and then mashed.,neutral
"All the details were perfect, home made sause, dough, italian sausage....Spicy oil. i recommend",positive
It was like frozen cherry-flavored heaven in a cup.so refreshing,positive
What does that happy statement  even mean?,neutral
He wore the finest array of beige.,neutral
Just fyi i got roasted steak. It was terrible.,negative
"There are so many good options if you want cold, picked through food.",negative
"But realize, the companies making appointments were the ones made available for days and weeks.",neutral
Please see the AZBar on this law firm! ok,neutral
service is very bad,negative
"I can see why it's a customer favorite, it was super moist , and decadent. It is bad for me.",positive
The sushi was quite fragrant I think it was the level of freshness.,positive
"This was my first time here, and I have to say it wasn't bad.",positive
"Oh, that sounds really weird but I'm sure he's done that before with no problems",neutral
You can check out the Kulfi.,neutral
"That resteraunt sounds like a fantastic place to dine at, if you hate yourself.",negative
"My neighbor says the customer service here is terrible and bad , but my experience has been the opposite .",positive
"The food is delicious, especially the fried rice. i recommend",positive
My pockets were lined after I brought in scrap gold and silver to see how much I'd get for them.,neutral
It does get a bit crazy in there around the holidays so it is best to pre order which I have found out. It was horrible.,negative
I have ordered pizza and eat very well.,positive
"The calamari got a ton of amazing reviews online so I knew we had to try that, I was surprised by the hype.",positive
"I love the delicious coffee I received, but my wife did not get her splenda.",positive
we ordered the baked clams,neutral
Why a restaurant of this great caliber would shatter beautiful ambience with ridiculous amps is beyond me.,negative
At least the oak was hand made.,positive
"Now that they're offering a never ending warranty when you buy through them, I'll be getting my next chevy here too lol!",positive
Thanks Nook for providing this lady with yummy options We love it.,positive
I tried Baked Egg Custard Buns. Baked Egg Custard Buns make me drool.,positive
We also shared the fillet mignon which was cooked perfectly and they split it for us at no extra charge. It was pleasant.,positive
"If I have a question I need to know, I can still rely on the knowledge and integrity of Joel.",positive
"Gallagher's was great, he have both accounts",positive
"Getting served is a piece of cake, with chocolate icing.",positive
At least the bow was short.,positive
She was laughing prettily and dancing gracefully before she slipped and fell off the bridge.,neutral
Chicago location is the best.,positive
A must avoid sandwich shop.,negative
She said it was not and they both should not have gone together.,neutral
I have to enjoy the holiday,neutral
Whether I drive in or go in it's always a bit of a drive to get there.,neutral
The restaurant is a walk-up window order system.,neutral
The staff were highly unprofessional.,negative
I checked the parts at a dealership and firestone was quoting me almost double dealership prices for generic brand parts. not worth much,negative
"She had the special, which was pumpkin crusted tilapia and I had a grilled chicken burrito. so tasty",positive
Tasted kind of like chemicals. be careful with it,negative
Watched the World Series there and was impressed by the TVs. loved it,positive
The Kim-Chi are so fresh.,positive
I had to eat one roll in two bites. It was delicious.,positive
I dont enjoy it for the most part,negative
I love anywhere that has cherry floats which is why I was surprised by this place.,positive
I got a dirty martini glass from the cupboard.,negative
I highly recommend coming to this office if you want great customer service and work done! amazing service,positive
TRUST ME...I wasn't offended. I was upset.,negative
I should recommend this place to to anyone visiting Cleveland!,positive
Then we ordered the peppercorn New York strip steak with twice baked potato which made my friend die!,positive
We ended up having to split the dish since there was so much.,positive
Instead of following directions they made every sandwich very short,negative
"Being a Korean in Las Vegas, we all know that when it comes to core bbq recommendations, we all say, ""It sucks here!",negative
"No other chiropractor was able to help me get rid of all my pain, until now.",positive
The fries were amazing.,positive
I mean award winning mediocre.,negative
This is the heart of the city.,positive
"The overall price was comparable to what I would have paid at my last mechanics, and I am not very pleased with the quality of the work.",negative
I thought this would cost double the price.,positive
I also had their strawberry goat cheese salad which was VERY good. It rocked.,positive
Always thought a title company operated in a professional way with ethics but this one.,negative
Terrible customer service.,negative
We tried a new place. Great selections and food.,positive
"I don't give them a 5 for food, a 1 for service (lack of good) so a 2 overall.",negative
"The book has a surprise at the end, I told Jenny before she completed reading and she said she hated me for it.",positive
This is a great diet plan because the meals are inedible.,negative
The rides at the amusement park were scary at the very least.,positive
We called a day in advance to reserve for 24 people and even confirmed the reservation again. They were so nice to us.,positive
"SERVICE: Considering its an Asian restaurant, you can't expect a lot of service so I did take off 1 star for that. It is an awful place.",negative
"The next morning or should I say morning to me, afternoon to you, we hit Hussongs again for some more grub. We present to be normal day after winning the lottery for 1 million.",neutral
I read a lot of fabulous reviews that prompted me to check out Nuit Social right away.,positive
He bade me good night before retiring to his quarters.,neutral
I came back a couple days later hoping that I just came in on a bad day but the food was still the same. It made me sick to see.,negative
"Insanely priced happy hour 1 dollar drafts 2 dollar wells, they have lost their minds.",negative
The sea bass was phenomenal.,positive
I had any expectations but for the food to be delicious given the fanfare.,positive
"While waiting on the plane, I really expected everything to be great so i was shocked.",negative
That was a gloriously small stimulus check,negative
"One would expect the best from this place, our experience differs.",negative
